"Product","Blackbox flight data recorder by Nicholas Sherlock"
2688,22471225,534,62,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644434,-5032251,1628,4,1770,-0.06666043892930418,162.7999999985605,1.4672707493446069e-12,0.06666043892930418,359.9999999987389,0
2704,22475195,534,62,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644434,-5032251,1628,4,1770,-0.06666043892930418,162.7999999985605,1.4672707493446069e-12,0.06666043892930418,359.9999999987389,0
2720,22479165,534,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644434,-5032251,1628,4,1770,-0.06666043892930418,162.7999999985605,1.4672707493446069e-12,0.06666043892930418,359.9999999987389,0
2736,22483136,534,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2752,22487108,534,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2768,22491077,534,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2784,22495048,534,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2800,22499018,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2816,22502989,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2832,22506959,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2848,22510930,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2864,22514900,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2880,22518871,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2896,22522842,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2912,22526812,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2928,22530783,533,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2944,22534753,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2960,22538724,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2976,22542695,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
2992,22546665,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3008,22550636,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3024,22554606,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3040,22558577,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3056,22562547,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3072,22566518,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3088,22570488,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3104,22574459,532,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3120,22578430,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3136,22582400,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3152,22586371,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3168,22590341,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3184,22594313,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3200,22598283,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3216,22602253,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3232,22606224,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,19,432644433,-5032252,1628,16,1770,-0.07777051154779713,162.7999999987182,-0.008119247807765628,0.07819318801129643,5.960092910816394,0
3248,22610195,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3264,22614165,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3280,22618135,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3296,22622106,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3312,22626077,531,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3328,22630047,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3344,22634018,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3360,22637988,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3376,22641959,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3392,22645929,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3408,22649900,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3424,22653871,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3440,22657841,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
3456,22661811,530,63,0,100,7,0,0,0,0,524289,7,0,1,1,20,432644433,-5032251,1628,14,1712,-0.07777051127291656,162.79999999842613,6.023848087011174e-12,0.07777051127291656,359.99999999556206,0
